,word,freq.x,freq.y,percent.x,percent.y,keyness,p.value,log.ratio,x.vs.y
2023,fbi,6,148,0.01,0.03,36.08,0.00000,2.67,x<y
4312,register,20,7,0.02,0.00,35.78,0.00000,3.47,x>y
196,alone,37,33,0.03,0.01,35.73,0.00000,2.12,x>y
4484,rid,5,138,0.00,0.03,35.67,0.00000,2.83,x<y
719,businesses,72,108,0.06,0.02,35.67,0.00000,1.37,x>y
5267,thing,49,428,0.04,0.10,35.61,0.00000,1.17,x<y
2971,lady,16,3,0.01,0.00,35.58,0.00000,4.37,x>y
3751,particularly,16,3,0.01,0.00,35.58,0.00000,4.37,x>y
3410,mosul,1,95,0.00,0.02,35.54,0.00000,4.61,x<y
2153,former,28,18,0.02,0.00,35.53,0.00000,2.60,x>y
3033,leaving,8,163,0.01,0.04,35.38,0.00000,2.39,x<y
6858,deficit,0,77,0.00,0.02,35.24,0.00000,5.31,x<y
3556,numbers,8,162,0.01,0.04,35.02,0.00000,2.38,x<y
218,americorps,11,0,0.01,0.00,34.91,0.00000,6.42,x>y
798,casinos,11,0,0.01,0.00,34.91,0.00000,6.42,x>y
1961,fabrics,11,0,0.01,0.00,34.91,0.00000,6.42,x>y
2478,helicopter,11,0,0.01,0.00,34.91,0.00000,6.42,x>y
2788,introduced,11,0,0.01,0.00,34.91,0.00000,6.42,x>y
2938,kindness,11,0,0.01,0.00,34.91,0.00000,6.42,x>y
5315,times,18,235,0.02,0.05,34.85,0.00000,1.75,x<y
1801,enough,65,93,0.06,0.02,34.82,0.00000,1.44,x>y
9690,subpoena,0,76,0.00,0.02,34.78,0.00000,5.29,x<y
1952,extraordinary,13,1,0.01,0.00,34.51,0.00000,5.66,x>y
2856,jobs,213,1254,0.19,0.28,34.48,0.00000,0.60,x<y
7,able,66,96,0.06,0.02,34.42,0.00000,1.42,x>y
3552,november,25,279,0.02,0.06,34.25,0.00000,1.52,x<y
213,amendment,6,143,0.01,0.03,34.19,0.00000,2.62,x<y
4937,stand,67,99,0.06,0.02,34.05,0.00000,1.40,x>y
2485,helping,26,16,0.02,0.00,34.02,0.00000,2.66,x>y
4493,rising,26,16,0.02,0.00,34.02,0.00000,2.66,x>y
1153,contrast,20,8,0.02,0.00,33.64,0.00000,3.28,x>y
2096,five,13,196,0.01,0.04,33.58,0.00000,1.95,x<y
3195,makes,45,51,0.04,0.01,33.46,0.00000,1.78,x>y
3328,mike,4,123,0.00,0.03,33.46,0.00000,2.98,x<y
5253,them,235,1350,0.21,0.30,33.34,0.00000,0.56,x<y
454,bargain,14,2,0.01,0.00,33.29,0.00000,4.77,x>y
3647,optimistic,14,2,0.01,0.00,33.29,0.00000,4.77,x>y
2411,happened,27,288,0.02,0.06,33.23,0.00000,1.46,x<y
828,century,19,7,0.02,0.00,33.22,0.00000,3.40,x>y
3649,or,307,801,0.27,0.18,33.18,0.00000,0.58,x>y
2820,isis,34,330,0.03,0.07,33.02,0.00000,1.32,x<y
9841,texas,0,72,0.00,0.02,32.95,0.00000,5.21,x<y
5090,support,99,182,0.09,0.04,32.85,0.00000,1.08,x>y
5719,what,807,2477,0.71,0.56,32.71,0.00000,0.34,x>y
435,ballot,24,14,0.02,0.00,32.57,0.00000,2.74,x>y
5415,troops,24,14,0.02,0.00,32.57,0.00000,2.74,x>y
618,both,49,61,0.04,0.01,32.26,0.00000,1.64,x>y
884,childcare,21,10,0.02,0.00,32.24,0.00000,3.03,x>y
1246,criminal,8,154,0.01,0.03,32.15,0.00000,2.31,x<y
1207,couple,2,99,0.00,0.02,32.01,0.00000,3.67,x<y
5793,works,35,33,0.03,0.01,31.98,0.00000,2.04,x>y
526,bernie,9,161,0.01,0.04,31.84,0.00000,2.20,x<y
1077,conclusively,10,0,0.01,0.00,31.74,0.00000,6.28,x>y
3942,ports,10,0,0.01,0.00,31.74,0.00000,6.28,x>y
4963,steady,10,0,0.01,0.00,31.74,0.00000,6.28,x>y
4983,stiffed,10,0,0.01,0.00,31.74,0.00000,6.28,x>y
5851,zip,10,0,0.01,0.00,31.74,0.00000,6.28,x>y
1187,corporations,31,26,0.03,0.01,31.71,0.00000,2.21,x>y
2381,guys,1,86,0.00,0.02,31.61,0.00000,4.47,x<y
9780,syrian,0,69,0.00,0.02,31.58,0.00000,5.15,x<y
2158,fortunate,12,1,0.01,0.00,31.49,0.00000,5.54,x>y
5617,vladimir,12,1,0.01,0.00,31.49,0.00000,5.54,x>y
4566,said,289,1586,0.25,0.36,31.36,0.00000,0.50,x<y
3257,may,52,69,0.05,0.02,31.28,0.00000,1.55,x>y
5141,system,24,262,0.02,0.06,31.22,0.00000,1.49,x<y
4561,sad,2,97,0.00,0.02,31.18,0.00000,3.64,x<y
4264,recognize,22,12,0.02,0.00,31.17,0.00000,2.83,x>y
1977,failed,7,143,0.01,0.03,31.09,0.00000,2.39,x<y
